,selected_image_indices,value,selected_image_names,selected_images
0,8999,0.6931472,Lung_Opacity-1878.png,"[[ 20  36  41 ...  16  16  14]
 [ 22  40  42 ...  19  18  18]
 [ 23  39  42 ...  21  20  19]
 ...
 [119 214 230 ... 162 160 158]
 [114 203 218 ... 156 153 151]
 [ 78 137 146 ... 106 105 103]]"
1,1672,0.44252124,Normal-1329.png,"[[ 0  0  0 ...  2  0  0]
 [ 0  0  0 ... 13  4  0]
 [ 0  0  0 ... 26 16  8]
 ...
 [ 0  0  0 ...  0  0  0]
 [ 0  0  0 ...  0  0  0]
 [ 0  0  0 ...  0  0  0]]"
2,3554,0.32942727,COVID-1780.png,"[[166 163 164 ... 146 146 145]
 [171 169 170 ... 141 142 145]
 [167 174 182 ... 142 145 146]
 ...
 [202 205 199 ... 189 192 198]
 [204 210 204 ... 192 189 197]
 [212 211 208 ... 197 192 195]]"
3,2423,0.26670718,Normal-4034.png,"[[ 32  33  32 ... 235 241 218]
 [ 14  15  15 ... 168 182 181]
 [  4   4   4 ... 110 128 134]
 ...
 [  0   0   0 ...   0   0   1]
 [  0   0   0 ...   0   0   1]
 [  0   0   0 ...   0   1   2]]"
4,3465,0.22750273,COVID-698.png,"[[255 255 252 ... 255 255 255]
 [254 254 251 ... 255 255 255]
 [251 252 239 ... 219 219 219]
 ...
 [252 254 218 ... 132 127 123]
 [249 254 235 ... 197 194 192]
 [250 254 249 ... 253 253 254]]"
5,5517,0.20168066,COVID-1467.png,"[[ 10   8   8 ...   4   4   4]
 [ 15  13  12 ...  18  17  15]
 [ 22  21  21 ...  29  24  23]
 ...
 [164 165 168 ... 176 154 146]
 [164 167 172 ... 177 156 149]
 [161 166 166 ... 182 161 149]]"
6,944,0.1816187,Normal-1133.png,"[[ 0  0  0 ... 48 49 51]
 [ 0  0  0 ... 49 51 52]
 [ 0  0  0 ... 49 51 52]
 ...
 [ 0  0  0 ...  0  0  0]
 [ 0  0  0 ...  0  0  0]
 [ 0  0  0 ...  0  0  0]]"
7,4268,0.16609596,COVID-1276.png,"[[ 75  50  38 ...  60  62  69]
 [ 50  26  15 ...  57  60  67]
 [ 37  14   3 ...  55  60  67]
 ...
 [155 155 154 ... 149 151 153]
 [155 155 154 ... 150 151 152]
 [156 156 154 ... 151 151 151]]"
8,5228,0.15111907,COVID-1487.png,"[[  0   0   0 ...   1   1   1]
 [  0   0   0 ...   1   1   1]
 [  0   0   0 ...   1   1   1]
 ...
 [131 134 135 ... 123 120 114]
 [137 138 135 ... 127 125 118]
 [136 136 132 ... 128 128 123]]"
9,1926,0.14213882,Normal-379.png,"[[ 0  0  0 ... 99 81 71]
 [ 0  0  0 ... 99 85 69]
 [ 0  0  0 ... 92 81 71]
 ...
 [ 0  0  0 ...  0  0  0]
 [ 0  0  0 ...  0  0  0]
 [ 0  0  0 ...  0  0  0]]"
10,1619,0.1326057,Normal-1378.png,"[[37 40 43 ... 32 28 21]
 [36 40 42 ... 30 25 20]
 [36 39 40 ... 30 24 20]
 ...
 [ 0  0  0 ...  0  0  0]
 [ 0  0  0 ...  0  0  0]
 [ 0  0  0 ...  0  0  0]]"
11,4470,0.12637752,COVID-1402.png,"[[150 142 143 ... 123 121 121]
 [153 148 150 ... 120 118 120]
 [153 151 154 ... 118 117 119]
 ...
 [215 212 214 ... 219 215 217]
 [218 220 224 ... 218 219 222]
 [220 225 227 ... 217 219 218]]"
12,4753,0.120598085,COVID-1193.png,"[[20  3  0 ...  0  3 20]
 [20  3  0 ...  0  3 20]
 [20  3  0 ...  0  3 20]
 ...
 [20  3  0 ...  0  3 20]
 [20  3  0 ...  0  3 20]
 [20  3  0 ...  0  3 20]]"
13,5078,0.11520592,COVID-2216.png,"[[118  91  93 ...  88  89 120]
 [113  78  74 ...  68  62  92]
 [106  61  55 ...  63  59  83]
 ...
 [ 81  96 105 ...  56  62 102]
 [ 71  91 105 ...  50  53  90]
 [ 48  69  99 ...  36  39  76]]"
14,2975,0.11055944,Normal-8417.png,"[[150 134  97 ...   0   0   0]
 [136 105  62 ...   0   0   0]
 [126  90  47 ...   0   0   0]
 ...
 [246 245 244 ... 243 239 216]
 [246 246 245 ... 244 240 217]
 [246 246 245 ... 244 241 217]]"
15,3707,0.10635757,COVID-3615.png,"[[0 0 0 ... 0 0 0]
 [0 0 0 ... 0 0 0]
 [0 0 0 ... 0 0 0]
 ...
 [0 0 0 ... 0 0 0]
 [0 0 0 ... 0 0 0]
 [0 0 0 ... 0 0 0]]"
16,1756,0.10326628,Normal-645.png,"[[ 0  0  0 ... 16 15 12]
 [ 0  0  0 ... 17 14 10]
 [ 0  0  0 ... 15 12 10]
 ...
 [ 0  0  0 ...  0  0  0]
 [ 0  0  0 ...  0  0  0]
 [ 0  0  0 ...  0  0  0]]"
17,5361,0.100327566,COVID-1288.png,"[[ 28  23  23 ...  76  75  75]
 [ 13  10   8 ...  68  70  72]
 [  5   3   1 ...  69  73  77]
 ...
 [191 188 187 ... 206 198 195]
 [191 188 187 ... 206 198 195]
 [192 189 188 ... 207 199 195]]"
18,3316,0.09696163,COVID-556.png,"[[ 0  5 14 ... 20  1  0]
 [ 0  5 14 ... 23  3  2]
 [ 0  4 12 ... 25  4  4]
 ...
 [ 0  0  0 ...  0  0  0]
 [ 0  0  0 ...  0  0  0]
 [ 0  0  0 ...  0  0  0]]"
19,5333,0.09444683,COVID-1672.png,"[[  3   3   3 ...  44  42  48]
 [  3   3   3 ...  40  40  44]
 [  3   3   3 ...  47  49  51]
 ...
 [158 160 161 ...  96  91  87]
 [161 160 158 ...  96  88  86]
 [162 161 161 ... 102  91  85]]"
20,2086,0.091754004,Normal-7730.png,"[[ 10  11  10 ...   8   9   8]
 [ 11  11  11 ...  10  10   9]
 [ 10  11  11 ...  10  10   9]
 ...
 [ 17  18  19 ... 173 168 148]
 [ 16  18  19 ... 170 165 146]
 [ 14  16  17 ... 149 144 128]]"
21,412,0.08993209,Normal-897.png,"[[0 0 0 ... 0 0 0]
 [0 0 0 ... 0 0 0]
 [0 0 0 ... 0 0 0]
 ...
 [0 0 0 ... 0 0 0]
 [0 0 0 ... 0 0 0]
 [0 0 0 ... 0 0 0]]"
22,4490,0.08770082,COVID-1317.png,"[[227 152 105 ... 157 195 165]
 [225 153 108 ... 157 196 168]
 [227 156 113 ... 155 193 168]
 ...
 [255 255 255 ... 254 255 252]
 [251 253 255 ... 252 254 250]
 [250 253 255 ... 252 254 252]]"
23,4088,0.085837655,COVID-1523.png,"[[115 115 115 ... 101 101 101]
 [115 115 115 ... 102 102 102]
 [115 115 115 ... 103 103 103]
 ...
 [136 136 136 ...  32  29  30]
 [172 172 172 ... 102 100 101]
 [236 236 236 ... 215 215 217]]"
24,1194,0.084512554,Normal-405.png,"[[232 227 226 ... 187 191 200]
 [224 225 226 ... 190 189 195]
 [223 222 226 ... 190 183 185]
 ...
 [  0   0   0 ...   0   0   0]
 [  0   0   0 ...   1   0   0]
 [  0   0   0 ...   0   0   0]]"
25,5319,0.082753494,COVID-1477.png,"[[179 178 183 ... 114 111 112]
 [175 178 179 ... 104 103 107]
 [144 145 144 ... 105 119 132]
 ...
 [191 184 178 ... 169 165 164]
 [191 182 180 ... 168 164 164]
 [196 188 185 ... 164 162 164]]"
