,selected_image_indices,value,selected_image_names,selected_images,selected_image_classes
0,0,0.6931472,4a5a6efc0bef.png,"[[[1 1 0]
  [1 1 0]
  [1 1 0]
  ...
  [3 2 0]
  [3 2 0]
  [2 1 0]]

 [[1 1 0]
  [1 1 0]
  [1 1 0]
  ...
  [3 2 0]
  [3 2 0]
  [3 2 0]]

 [[2 2 0]
  [2 2 0]
  [1 1 0]
  ...
  [3 2 0]
  [2 1 0]
  [3 2 1]]

 ...

 [[0 0 0]
  [0 0 0]
  [1 1 1]
  ...
  [1 1 1]
  [1 1 1]
  [1 1 1]]

 [[0 0 0]
  [0 0 0]
  [1 1 1]
  ...
  [1 1 1]
  [1 1 1]
  [1 1 1]]

 [[0 0 0]
  [0 0 0]
  [1 1 1]
  ...
  [1 1 1]
  [1 1 1]
  [0 0 0]]]",Normal
1,3358,0.4327835,2fde69f20585.png,"[[[2 0 1]
  [2 1 1]
  [3 1 2]
  ...
  [1 1 1]
  [2 1 1]
  [3 1 2]]

 [[3 1 2]
  [3 1 2]
  [2 1 2]
  ...
  [1 1 1]
  [1 1 1]
  [3 1 2]]

 [[2 2 2]
  [3 1 2]
  [2 2 2]
  ...
  [2 0 1]
  [1 1 1]
  [3 1 2]]

 ...

 [[1 1 1]
  [1 1 1]
  [2 2 2]
  ...
  [1 1 1]
  [1 1 1]
  [1 1 1]]

 [[1 1 1]
  [1 1 1]
  [1 1 1]
  ...
  [1 1 1]
  [1 1 1]
  [1 1 1]]

 [[1 1 1]
  [1 1 1]
  [1 1 1]
  ...
  [1 1 1]
  [1 1 1]
  [2 2 2]]]",Severe
2,222,0.32446095,cd563556cb57.png,"[[[0 0 0]
  [0 0 0]
  [0 0 0]
  ...
  [0 0 0]
  [0 0 0]
  [0 0 0]]

 [[0 0 0]
  [0 0 0]
  [0 0 0]
  ...
  [0 0 0]
  [0 0 0]
  [0 0 0]]

 [[0 0 0]
  [0 0 0]
  [0 0 0]
  ...
  [0 0 0]
  [0 0 0]
  [0 0 0]]

 ...

 [[0 0 0]
  [0 0 0]
  [0 0 0]
  ...
  [0 0 0]
  [0 0 0]
  [0 0 0]]

 [[0 0 0]
  [0 0 0]
  [0 0 0]
  ...
  [0 0 0]
  [0 0 0]
  [0 0 0]]

 [[0 0 0]
  [0 0 0]
  [0 0 0]
  ...
  [0 0 0]
  [0 0 0]
  [0 0 0]]]",Normal
3,2851,0.26267856,78d53c82a23e.png,"[[[0 0 0]
  [0 0 0]
  [0 0 0]
  ...
  [0 0 0]
  [0 0 0]
  [0 0 0]]

 [[0 0 0]
  [0 0 0]
  [0 0 0]
  ...
  [0 0 0]
  [0 0 0]
  [0 0 0]]

 [[0 0 0]
  [0 0 0]
  [0 0 0]
  ...
  [0 0 0]
  [0 0 0]
  [0 0 0]]

 ...

 [[0 3 0]
  [2 0 0]
  [2 0 3]
  ...
  [0 0 0]
  [0 0 0]
  [0 0 0]]

 [[1 0 0]
  [0 0 2]
  [0 0 1]
  ...
  [0 0 0]
  [0 0 0]
  [0 0 0]]

 [[4 0 3]
  [0 1 4]
  [0 2 1]
  ...
  [0 0 0]
  [0 0 0]
  [0 0 2]]]",Mild
4,1318,0.22114977,bff51afc76d4.png,"[[[10  8 13]
  [ 9  8 13]
  [ 9  8 14]
  ...
  [11  8 14]
  [11  8 14]
  [11  8 14]]

 [[ 9  8 13]
  [ 9  8 13]
  [ 9  8 14]
  ...
  [11  9 13]
  [11  8 13]
  [11  8 14]]

 [[ 9  8 13]
  [ 9  8 13]
  [10  8 13]
  ...
  [12  8 13]
  [11  8 14]
  [12  8 13]]

 ...

 [[10  8 12]
  [10  8 13]
  [ 9  8 14]
  ...
  [10  8 13]
  [10  8 13]
  [10  8 13]]

 [[10  8 13]
  [ 9  8 13]
  [10  8 13]
  ...
  [ 9  8 13]
  [ 9  8 13]
  [10  8 13]]

 [[10  8 13]
  [10  8 13]
  [ 9  8 13]
  ...
  [10  8 14]
  [ 9  8 13]
  [ 9  8 13]]]",Normal
5,3450,0.19406284,498f143c0374.png,"[[[2 0 1]
  [1 1 1]
  [2 1 1]
  ...
  [1 1 1]
  [3 1 2]
  [3 1 2]]

 [[2 1 2]
  [2 1 1]
  [2 1 1]
  ...
  [2 1 1]
  [2 1 2]
  [2 0 1]]

 [[3 0 1]
  [3 1 2]
  [3 1 2]
  ...
  [3 0 1]
  [1 2 1]
  [3 1 2]]

 ...

 [[1 1 1]
  [1 1 1]
  [2 2 2]
  ...
  [1 1 1]
  [2 2 2]
  [1 1 1]]

 [[2 2 2]
  [2 2 2]
  [1 1 1]
  ...
  [1 1 1]
  [1 1 1]
  [1 1 1]]

 [[1 1 1]
  [1 1 1]
  [1 1 1]
  ...
  [1 1 1]
  [1 1 1]
  [1 1 1]]]",Severe
6,3658,0.17242396,65e120143825.png,"[[[3 1 2]
  [3 1 2]
  [3 1 2]
  ...
  [3 1 2]
  [3 1 2]
  [3 1 2]]

 [[3 1 2]
  [3 1 2]
  [4 2 3]
  ...
  [3 1 2]
  [3 1 2]
  [3 1 2]]

 [[3 1 2]
  [3 1 2]
  [3 1 2]
  ...
  [3 1 2]
  [3 1 2]
  [3 1 2]]

 ...

 [[2 2 2]
  [2 2 2]
  [3 1 2]
  ...
  [2 2 2]
  [3 1 2]
  [3 1 2]]

 [[2 2 2]
  [2 2 2]
  [3 1 2]
  ...
  [2 2 2]
  [3 1 2]
  [3 1 2]]

 [[3 1 2]
  [3 1 2]
  [2 2 2]
  ...
  [3 1 2]
  [3 1 2]
  [3 1 2]]]",Severe
7,35,0.15799414,b69c224edd6e.png,"[[[6 6 8]
  [6 6 7]
  [6 6 7]
  ...
  [6 5 8]
  [6 6 8]
  [6 6 7]]

 [[6 5 8]
  [6 6 7]
  [6 6 7]
  ...
  [6 6 8]
  [6 6 8]
  [6 6 8]]

 [[6 6 8]
  [6 6 8]
  [6 6 8]
  ...
  [6 5 8]
  [6 6 8]
  [6 5 7]]

 ...

 [[5 5 7]
  [5 5 7]
  [6 6 7]
  ...
  [5 5 7]
  [5 5 8]
  [6 6 7]]

 [[5 5 7]
  [5 5 7]
  [5 6 7]
  ...
  [5 6 7]
  [5 5 7]
  [5 5 7]]

 [[5 5 7]
  [5 5 7]
  [5 5 7]
  ...
  [6 6 7]
  [5 5 7]
  [5 5 8]]]",Normal
8,3559,0.14566658,374535e0adb8.png,"[[[3 1 2]
  [2 1 1]
  [1 1 1]
  ...
  [2 2 2]
  [2 1 1]
  [1 1 1]]

 [[3 1 2]
  [2 2 2]
  [1 1 1]
  ...
  [2 1 2]
  [2 1 2]
  [1 1 1]]

 [[3 1 2]
  [1 2 1]
  [1 2 1]
  ...
  [1 1 1]
  [2 1 2]
  [2 1 1]]

 ...

 [[1 1 1]
  [1 1 1]
  [1 1 1]
  ...
  [3 1 2]
  [1 1 1]
  [1 1 1]]

 [[1 1 1]
  [1 1 1]
  [1 1 1]
  ...
  [2 2 2]
  [1 1 1]
  [1 1 1]]

 [[1 1 1]
  [1 1 1]
  [1 1 1]
  ...
  [2 2 2]
  [1 1 1]
  [1 1 1]]]",Severe
9,2645,0.13494462,a6c9e96a10d7.png,"[[[3 2 0]
  [2 1 0]
  [1 0 0]
  ...
  [0 0 0]
  [0 0 0]
  [0 0 0]]

 [[2 1 0]
  [1 0 0]
  [2 1 0]
  ...
  [0 0 0]
  [0 0 0]
  [0 0 0]]

 [[1 0 0]
  [1 0 0]
  [2 1 0]
  ...
  [0 0 0]
  [1 1 1]
  [0 0 0]]

 ...

 [[2 0 0]
  [0 1 0]
  [0 1 1]
  ...
  [0 0 2]
  [0 0 0]
  [0 1 0]]

 [[1 0 3]
  [0 1 0]
  [0 2 0]
  ...
  [0 1 0]
  [0 1 0]
  [1 0 3]]

 [[0 0 6]
  [2 0 0]
  [0 1 0]
  ...
  [0 2 0]
  [0 1 0]
  [3 0 5]]]",Mild
