selected_image_indices,value,selected_image_names,selected_images
23999,0.0,DRUSEN-7763772-4.jpeg,"[[255 255 255 ... 255 255 255]
 [255 255 255 ... 255 255 255]
 [255 255 255 ... 255 255 255]
 ...
 [  6   7  10 ...   8   8   7]
 [  7   8  11 ...   9   8   8]
 [  8  10  12 ...   9   9   8]]"
6314,0.053047776,NORMAL-6972746-24.jpeg,"[[254  73  24 ...  18  28  34]
 [252  76  33 ...   5  14  22]
 [255  75  23 ...  15  22  29]
 ...
 [255 255 255 ... 255 255 255]
 [255 255 255 ... 255 255 255]
 [255 255 255 ... 255 255 255]]"
12743,-0.006572008,DME-7675318-15.jpeg,"[[11  5 34 ...  7  2  0]
 [ 0 35 22 ... 12  6  2]
 [ 7 30 12 ... 10  4  1]
 ...
 [14  9  9 ...  7  2  0]
 [15 12 14 ...  7  2  0]
 [17 15 19 ...  7  2  0]]"
22263,-0.0019506812,DRUSEN-8218042-1.jpeg,"[[ 1  2  3 ...  5  4  3]
 [ 3  3  4 ...  3  2  1]
 [ 4  5  5 ...  3  3  2]
 ...
 [17 31 37 ... 28 22 19]
 [17 30 37 ... 28 20 15]
 [16 30 36 ... 30 21 13]]"
12068,-0.00045585632,DME-5465575-28.jpeg,"[[ 41  30   6 ...  34  15   2]
 [ 41  52  43 ...  30  11   0]
 [ 41  43  33 ...  35  19   9]
 ...
 [231 231 231 ... 255 255 255]
 [255 255 255 ... 255 255 255]
 [254 254 254 ... 255 255 255]]"
18626,-0.0009901524,DRUSEN-5710007-7.jpeg,"[[12 24 13 ... 10  5  6]
 [ 9 19 38 ... 13 10 12]
 [17 26 61 ... 22 17 15]
 ...
 [ 9  9  7 ... 10  7  4]
 [ 9  8  6 ...  8  5  2]
 [ 9  6  5 ...  6  3  0]]"
6802,-0.00034755468,NORMAL-8935969-30.jpeg,"[[ 8 24 24 ... 16 13 11]
 [10 24 22 ... 11  9  8]
 [16 25 20 ...  9  7  6]
 ...
 [ 4  4  4 ...  7  5  3]
 [ 4  4  4 ...  6  4  2]
 [ 4  4  4 ...  5  3  1]]"
12235,-0.0011761785,DME-7706610-10.jpeg,"[[255 252 251 ... 255 255 255]
 [255 255 253 ... 255 255 255]
 [254 254 251 ... 254 254 254]
 ...
 [  7  14   7 ...  10   9   7]
 [  6  14   6 ...   7   6   5]
 [  6  13   4 ...   4   3   2]]"
15994,-0.00065487623,DME-7928636-10.jpeg,"[[ 43  48  55 ... 255 255 255]
 [ 59  53  55 ... 255 255 255]
 [ 57  51  54 ... 255 255 255]
 ...
 [255 255 255 ...  26  20  13]
 [255 255 255 ...  20  16  12]
 [255 255 255 ...  13  11  10]]"
9096,-0.0007278323,DME-8602716-49.jpeg,"[[23 13 18 ... 12 14 15]
 [13 19 20 ...  9 10 11]
 [10 29 18 ... 17 20 23]
 ...
 [ 0  1  4 ...  5  4  3]
 [ 0  2  4 ...  5  4  3]
 [ 2  3  4 ...  5  4  3]]"
10217,-2.7894974e-05,DME-1649492-72.jpeg,"[[ 0  0  3 ... 12  8  4]
 [ 0  2  4 ... 13 10  5]
 [ 2  4  5 ... 14 10  6]
 ...
 [ 3  5  7 ...  2  2  2]
 [ 3  5  7 ...  2  2  2]
 [ 3  5  7 ...  2  2  2]]"
14002,-8.98242e-05,DME-3064922-226.jpeg,"[[56 68 65 ... 30 22 12]
 [66 76 68 ... 29 24 18]
 [57 68 61 ... 31 30 28]
 ...
 [ 7  3  4 ...  6  5  4]
 [ 5  2  3 ...  5  5  4]
 [ 4  2  3 ...  4  3  2]]"
12027,-0.0011954904,DME-8525575-21.jpeg,"[[255 255 255 ... 255 255 255]
 [255 255 255 ... 255 255 255]
 [255 255 255 ... 255 255 255]
 ...
 [255  96   3 ...   4   2   0]
 [255  96   3 ...   4   2   0]
 [255  96   2 ...   4   2   0]]"
9551,-4.3928623e-05,DME-4388412-6.jpeg,"[[ 0  0  0 ... 10  7  4]
 [ 0  0  0 ...  8  6  5]
 [ 0  0  0 ... 12 10  7]
 ...
 [ 0  0  0 ...  2  3  4]
 [ 0  0  0 ...  2  3  4]
 [ 0  0  0 ...  2  3  4]]"
