selected_image_indices,value,selected_image_names,selected_images
23999,0.0,DRUSEN-7763772-4.jpeg,"[[255 255 255 ... 255 255 255]
 [255 255 255 ... 255 255 255]
 [255 255 255 ... 255 255 255]
 ...
 [  6   7  10 ...   8   8   7]
 [  7   8  11 ...   9   8   8]
 [  8  10  12 ...   9   9   8]]"
6314,0.053047776,NORMAL-6972746-24.jpeg,"[[254  73  24 ...  18  28  34]
 [252  76  33 ...   5  14  22]
 [255  75  23 ...  15  22  29]
 ...
 [255 255 255 ... 255 255 255]
 [255 255 255 ... 255 255 255]
 [255 255 255 ... 255 255 255]]"
20145,0.096508324,DRUSEN-9059831-9.jpeg,"[[250 255 163 ...  21   1  12]
 [254 246  92 ...  59  32  28]
 [245 255 112 ...  85  74  74]
 ...
 [255 232 104 ...  16  15  14]
 [253 255 224 ...  66  66  64]
 [239 251 254 ... 255 255 254]]"
10685,0.14807415,DME-4244491-18.jpeg,"[[18 12 20 ... 26 23 19]
 [ 0 16 22 ... 12  9  5]
 [ 0 29 22 ...  8  5  2]
 ...
 [11  4  7 ...  2  2  2]
 [11  4  7 ...  2  2  2]
 [11  4  7 ...  2  2  2]]"
9185,0.19284248,DME-9721607-18.jpeg,"[[255 255 255 ... 255 255 255]
 [255 255 255 ... 255 255 255]
 [255 255 255 ... 255 255 255]
 ...
 [ 19  38  46 ...  38  30 156]
 [ 22  38  42 ...  38  30 156]
 [ 26  38  37 ...  38  30 156]]"
15179,0.24284989,DME-4826882-4.jpeg,"[[44 20 14 ... 73 64 54]
 [27 20 24 ... 64 54 42]
 [11 13 14 ... 59 46 32]
 ...
 [ 8  9 10 ...  6  4  2]
 [ 3  4  5 ...  6  4  2]
 [ 1  2  4 ...  6  4  2]]"
12027,0.28909278,DME-8525575-21.jpeg,"[[255 255 255 ... 255 255 255]
 [255 255 255 ... 255 255 255]
 [255 255 255 ... 255 255 255]
 ...
 [255  96   3 ...   4   2   0]
 [255  96   3 ...   4   2   0]
 [255  96   2 ...   4   2   0]]"
10419,0.3396775,DME-8738660-6.jpeg,"[[15  9  4 ...  9  9  8]
 [12  9  7 ...  8  7  6]
 [ 6  8  9 ...  3  3  3]
 ...
 [ 3  3 22 ... 93 81 71]
 [ 4  3 22 ... 85 74 63]
 [ 4  4 22 ... 79 68 57]]"
14002,0.38970077,DME-3064922-226.jpeg,"[[56 68 65 ... 30 22 12]
 [66 76 68 ... 29 24 18]
 [57 68 61 ... 31 30 28]
 ...
 [ 7  3  4 ...  6  5  4]
 [ 5  2  3 ...  5  5  4]
 [ 4  2  3 ...  4  3  2]]"
11249,0.4377498,DME-7767265-15.jpeg,"[[ 0 16 29 ... 14  8  1]
 [ 6 14 20 ... 27 21 12]
 [13 25 19 ... 21 16 11]
 ...
 [ 0  4  8 ... 13 10  6]
 [ 0  4  8 ... 10  7  4]
 [ 0  4  8 ...  8  5  1]]"
9004,0.49164248,DME-8087608-17.jpeg,"[[143 137 135 ...  61 103  64]
 [133 134 137 ...  83 119  73]
 [132 141 149 ...  92 123  72]
 ...
 [  2   4   5 ...   3   3   3]
 [  2   4   5 ...   3   3   3]
 [  2   4   5 ...   3   3   3]]"
8574,0.5313505,DME-8019418-65.jpeg,"[[ 0 10  0 ...  8  7  0]
 [12 21  4 ...  1  5  0]
 [26 35 14 ...  2 10  7]
 ...
 [ 0  1  2 ...  1  1  1]
 [ 0  1  2 ...  1  1  1]
 [ 0  1  2 ...  1  1  1]]"
14195,0.58845335,DME-8692039-4.jpeg,"[[255 255 255 ... 255 255 255]
 [255 255 255 ... 255 255 255]
 [255 255 255 ... 255 255 255]
 ...
 [ 11  15   7 ...   5   2 142]
 [ 11  15   7 ...   5   2 142]
 [ 11  15   6 ...   5   2 142]]"
9255,0.62820274,DME-7700504-15.jpeg,"[[255 255 255 ... 255 255 255]
 [255 255 255 ... 255 255 255]
 [255 255 255 ... 255 255 255]
 ...
 [ 31  45  47 ...  39  37  31]
 [ 25  32  31 ...  30  25  17]
 [ 30  26  15 ...  34  23  10]]"
18433,0.67943597,DRUSEN-8986660-136.jpeg,"[[ 46  42  44 ... 255 255 255]
 [ 53  37  19 ... 255 255 255]
 [ 42  31   4 ... 255 255 255]
 ...
 [255 255 255 ...  12  12  12]
 [255 255 255 ...  12  12  12]
 [255 255 255 ...  12  12  12]]"
