selected_image_indices,value,selected_image_names,selected_images
23999,0.6931472,DRUSEN-7763772-4.jpeg,"[[255 255 255 ... 255 255 255]
 [255 255 255 ... 255 255 255]
 [255 255 255 ... 255 255 255]
 ...
 [  6   7  10 ...   8   8   7]
 [  7   8  11 ...   9   8   8]
 [  8  10  12 ...   9   9   8]]"
6314,0.4393129,NORMAL-6972746-24.jpeg,"[[254  73  24 ...  18  28  34]
 [252  76  33 ...   5  14  22]
 [255  75  23 ...  15  22  29]
 ...
 [255 255 255 ... 255 255 255]
 [255 255 255 ... 255 255 255]
 [255 255 255 ... 255 255 255]]"
10685,0.3257862,DME-4244491-18.jpeg,"[[18 12 20 ... 26 23 19]
 [ 0 16 22 ... 12  9  5]
 [ 0 29 22 ...  8  5  2]
 ...
 [11  4  7 ...  2  2  2]
 [11  4  7 ...  2  2  2]
 [11  4  7 ...  2  2  2]]"
11249,0.26626673,DME-7767265-15.jpeg,"[[ 0 16 29 ... 14  8  1]
 [ 6 14 20 ... 27 21 12]
 [13 25 19 ... 21 16 11]
 ...
 [ 0  4  8 ... 13 10  6]
 [ 0  4  8 ... 10  7  4]
 [ 0  4  8 ...  8  5  1]]"
10604,0.22615287,DME-8177380-12.jpeg,"[[255 255 255 ... 255 255 255]
 [255 255 255 ... 255 255 255]
 [255 255 255 ... 255 255 255]
 ...
 [ 13  13  15 ...   3  52 255]
 [ 13  13  15 ...   3  52 255]
 [ 13  13  15 ...   3  52 255]]"
10419,0.19920142,DME-8738660-6.jpeg,"[[15  9  4 ...  9  9  8]
 [12  9  7 ...  8  7  6]
 [ 6  8  9 ...  3  3  3]
 ...
 [ 3  3 22 ... 93 81 71]
 [ 4  3 22 ... 85 74 63]
 [ 4  4 22 ... 79 68 57]]"
14002,0.17831287,DME-3064922-226.jpeg,"[[56 68 65 ... 30 22 12]
 [66 76 68 ... 29 24 18]
 [57 68 61 ... 31 30 28]
 ...
 [ 7  3  4 ...  6  5  4]
 [ 5  2  3 ...  5  5  4]
 [ 4  2  3 ...  4  3  2]]"
9004,0.1635147,DME-8087608-17.jpeg,"[[143 137 135 ...  61 103  64]
 [133 134 137 ...  83 119  73]
 [132 141 149 ...  92 123  72]
 ...
 [  2   4   5 ...   3   3   3]
 [  2   4   5 ...   3   3   3]
 [  2   4   5 ...   3   3   3]]"
14195,0.151623,DME-8692039-4.jpeg,"[[255 255 255 ... 255 255 255]
 [255 255 255 ... 255 255 255]
 [255 255 255 ... 255 255 255]
 ...
 [ 11  15   7 ...   5   2 142]
 [ 11  15   7 ...   5   2 142]
 [ 11  15   6 ...   5   2 142]]"
15994,0.1417329,DME-7928636-10.jpeg,"[[ 43  48  55 ... 255 255 255]
 [ 59  53  55 ... 255 255 255]
 [ 57  51  54 ... 255 255 255]
 ...
 [255 255 255 ...  26  20  13]
 [255 255 255 ...  20  16  12]
 [255 255 255 ...  13  11  10]]"
